County,FIPS,White Under 15,White 15 to 19,White 20 to 24,White 25 to 29,White 30 to 34,White 35 to 39,White 40+,Black Under 15,Black 15 to 19,Black 20 to 24,Black 25 to 29,Black 30 to 34,Black 35 to 39,Black 40+,Asian Under 15,Asian 15 to 19,Asian 20 to 24,Asian 25 to 29,Asian 30 to 34,Asian 35 to 39,Asian 40+,Other Under 15,Other 15 to 19,Other 20 to 24,Other 25 to 29,Other 30 to 34,Other 35 to 39,Other 40+,Hispanic Under 15,Hispanic 15 to 19,Hispanic 20 to 24,Hispanic 25 to 29,Hispanic 30 to 34,Hispanic 35 to 39,Hispanic 40+
CHAMBERS,71,2992,1046,815,986,1107,1162,7727,384,154,114,133,126,109,948,43,23,21,18,16,25,109,131,30,34,27,15,13,137,1637,560,474,469,446,460,1613
CHEROKEE,73,2236,865,690,760,886,801,9073,561,242,223,211,195,164,1560,7,10,9,10,9,6,84,214,48,44,26,31,17,166,1811,596,487,391,385,331,1623
CHILDRESS,75,247,105,72,102,84,117,1048,11,3,10,10,4,4,56,4,5,0,0,0,2,17,13,7,1,7,4,6,26,165,57,49,47,27,47,252
CLAY,77,632,269,193,221,211,250,2768,5,2,3,1,6,1,7,1,0,0,0,1,0,25,31,10,5,8,3,7,95,69,22,24,18,23,15,114
COCHRAN,79,55,28,19,16,23,25,278,1,4,3,1,0,2,33,0,0,0,0,0,0,0,3,0,2,0,0,0,16,190,82,39,53,55,49,262
COKE,81,181,62,74,69,59,75,800,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,1,2,6,0,2,11,71,30,23,18,17,17,135
COLEMAN,83,380,141,108,111,114,124,1865,14,5,8,4,5,3,58,4,0,0,0,5,3,2,24,4,1,6,4,3,62,163,59,53,49,40,42,305
COLLIN,85,47085,20026,17245,17832,17083,21190,168262,10616,4248,3884,4260,4225,4915,24948,16152,5798,4656,5282,6047,8535,35281,6363,1888,1412,1321,1088,1123,5209,20870,7941,6678,6238,5924,6621,31066
COLLINGSWORTH,87,125,35,37,31,33,48,471,7,7,3,5,5,2,26,0,0,0,0,0,0,1,17,2,3,0,1,1,19,129,50,26,27,26,39,154
COLORADO,89,652,214,207,263,233,245,3687,230,95,101,75,76,71,650,8,8,0,2,1,4,18,81,13,5,7,8,1,41,922,309,248,202,190,167,1136
COMAL,91,7969,3181,2556,2961,3031,3425,35161,264,104,93,111,131,94,909,88,57,38,42,58,72,444,377,110,106,104,91,65,567,5787,2095,1775,1708,1763,1849,10578
COMANCHE,93,565,220,197,195,224,219,3089,1,1,1,0,0,0,2,1,0,0,1,0,3,16,28,8,8,9,5,4,44,515,187,149,137,124,113,720
CONCHO,95,72,31,30,30,17,27,453,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,2,1,0,9,129,53,42,41,46,48,316
COOKE,97,2211,738,764,883,924,862,9218,110,45,36,38,40,36,257,24,13,12,16,12,16,97,172,40,41,42,30,29,228,1231,381,344,335,282,241,1177
CORYELL,99,3568,1049,1628,2000,2053,1831,11074,1047,327,602,825,707,617,2510,89,30,55,72,64,64,508,1089,243,271,250,225,165,634,1864,515,791,903,825,675,2348
COTTLE,101,51,26,22,16,15,23,301,11,2,0,3,3,6,44,0,0,0,0,0,0,0,2,0,0,0,0,2,0,36,14,9,5,5,13,80
CRANE,103,104,47,43,34,25,40,408,14,1,2,2,0,0,26,0,0,0,1,0,0,2,0,1,4,1,2,1,6,391,137,115,124,83,115,536
CROCKETT,105,81,22,18,31,22,35,327,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,2,209,85,59,65,43,57,445
CROSBY,107,114,49,32,44,32,60,592,17,6,4,1,3,6,46,0,0,0,0,0,0,0,10,1,0,2,0,0,5,353,131,103,113,73,81,616
CULBERSON,109,32,14,10,15,20,9,140,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,2,0,11,159,52,41,48,48,41,429
DALLAM,111,371,91,88,113,95,132,758,13,4,3,2,0,1,14,0,0,0,0,2,1,4,18,17,15,4,1,1,66,499,133,94,98,105,96,504
DALLAS,113,41926,13593,17856,30566,29234,25085,205411,55221,19582,19578,26326,25499,22591,142319,14369,4673,5762,9239,8968,7919,36245,8682,2044,2136,2743,2277,1815,7956,134356,47015,43895,44136,37811,34644,170441
DAWSON,115,297,83,85,97,100,104,1167,31,17,18,13,12,10,110,18,3,0,0,3,0,6,34,6,10,6,6,3,37,837,257,208,209,192,199,1251
DE WITT,123,715,253,206,261,261,240,3319,101,43,43,36,22,26,342,7,0,2,3,0,0,13,64,13,12,13,9,8,61,826,256,202,193,190,244,1348
DEAF SMITH,117,248,103,88,104,82,91,1379,10,9,9,3,8,4,32,9,1,9,3,5,5,11,23,8,10,9,2,2,45,1949,589,530,501,462,423,2308
DELTA,119,354,119,93,116,124,113,1236,41,10,12,19,12,10,83,2,1,0,0,0,0,12,21,9,11,7,4,3,56,58,18,9,10,14,17,58
DENTON,121,38791,16544,17145,17347,17088,19211,144817,9323,3758,4361,4394,5004,4738,20813,7411,2869,2581,3290,3573,4450,18624,4827,1366,1336,1151,1122,841,4034,21843,8144,7996,7414,7106,7060,31659
DICKENS,125,67,23,13,21,18,9,379,4,0,2,0,0,0,3,0,0,0,0,1,0,2,2,0,0,0,0,0,2,44,20,16,9,9,16,88
DIMMIT,127,86,34,25,18,26,28,270,3,3,1,3,2,2,6,0,0,0,7,0,0,16,4,0,0,0,0,4,4,834,326,259,239,216,203,1716
DONLEY,129,173,119,62,66,55,52,859,23,10,10,11,8,1,48,0,0,2,0,0,0,1,11,4,0,5,1,0,15,35,23,17,7,6,14,58
DUVAL,131,62,22,21,21,25,19,259,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,1,0,0,2,2,939,273,278,255,231,229,1957
EASTLAND,133,942,426,338,350,307,351,4225,19,86,40,6,6,6,46,5,2,1,2,3,5,19,39,9,8,4,8,5,77,377,191,98,105,89,93,505
ECTOR,135,4055,1357,1288,1553,1812,1645,12160,816,249,243,257,270,253,1198,138,48,84,74,87,74,377,420,102,119,127,84,70,319,13705,4171,3847,4044,3859,3528,15176
EDWARDS,137,37,9,4,5,2,11,211,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,23,19,21,14,16,181
EL PASO,141,8350,2345,3171,3872,3759,3375,24769,2653,846,1137,1298,1036,838,4067,808,277,389,479,496,548,2755,2463,518,608,598,538,452,1881,74832,27220,26646,26931,23866,22746,156099
