County,ITOP Total,ITOP Asian,ITOP Hispanic,ITOP White,ITOP Black,ITOP Other,Total Population,Under 15 Years,15 to 19 Years,20 to 24 Years,25 to 29 Years,30 to 34 Years,35 to 39 Years,40+ Years
Throckmorton,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
Titus,28,1.0,13,9,5,0.0,28,0,3,12,5,4,3,1
Tom Green,88,4.0,38,37,7,2.0,88,0,17,29,26,12,4,0
Travis,"3,340",218.0,"1,122","1,252",499,249.0,"3,340",5,216,940,"1,022",661,370,126
Trinity,8,0.0,2,5,1,0.0,8,0,1,2,2,2,0,1
Tyler,23,0.0,3,14,6,0.0,23,0,2,10,4,5,1,1
Unknown Texas County,,,,,,,39,0,4,11,14,5,4,1
Upshur,14,0.0,2,7,4,1.0,14,0,4,7,2,0,1,0
Upton,3,0.0,3,0,0,0.0,3,0,0,0,0,0,2,1
Uvalde,37,0.0,21,15,0,1.0,37,0,5,8,11,7,5,1
Val Verde,64,0.0,38,25,1,0.0,64,0,4,24,15,17,2,2
Van Zandt,49,0.0,12,32,1,4.0,49,0,11,13,11,10,4,0
Victoria,116,1.0,54,39,20,2.0,116,1,12,39,25,26,9,4
Walker,103,3.0,14,33,52,1.0,103,0,11,53,18,14,7,0
Waller,90,3.0,23,28,36,0.0,90,0,14,33,19,17,5,2
Ward,2,0.0,0,2,0,0.0,2,0,0,1,1,0,0,0
Washington,42,2.0,10,13,17,0.0,42,0,5,11,15,6,3,2
Webb,296,0.0,230,58,5,3.0,296,0,39,89,85,50,25,8
Wharton,64,2.0,26,22,14,0.0,64,0,4,19,19,16,4,2
Wheeler,1,0.0,0,1,0,0.0,1,0,0,1,0,0,0,0
Wichita,100,3.0,36,30,28,3.0,100,1,7,35,32,16,8,1
Wilbarger,6,0.0,1,1,4,0.0,6,0,2,1,2,0,1,0
Willacy,18,0.0,11,7,0,0.0,18,0,2,3,5,5,0,3
Williamson,834,95.0,215,349,130,45.0,834,3,56,198,235,185,121,36
Wilson,60,0.0,34,22,1,3.0,60,0,4,23,18,9,5,1
Winkler,1,0.0,1,0,0,0.0,1,0,0,0,1,0,0,0
Wise,46,1.0,19,26,0,0.0,46,0,10,7,11,10,7,1
Wood,23,0.0,4,18,1,0.0,23,0,2,9,7,2,3,0
Yoakum,14,0.0,6,2,6,0.0,14,0,1,6,1,5,1,0
Young,8,0.0,1,7,0,0.0,8,0,3,2,3,0,0,0
Zapata,15,0.0,12,3,0,0.0,15,0,3,1,3,5,1,2
Zavala,17,0.0,14,3,0,0.0,17,1,1,3,4,4,3,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
